ticker,date,holder,shares,value
JPM,2026-04-16,Vanguard Group Inc,265758185,81303399590
JPM,2026-04-16,Blackrock Inc.,211596732,64733786670
JPM,2026-04-16,State Street Corporation,125342135,38345918442
JPM,2026-04-16,Morgan Stanley,66385268,20309244553
JPM,2026-04-16,"Geode Capital Management, LLC",61268688,18743929271
JPM,2026-04-16,Bank of America Corporation,56719109,17352076600
JPM,2026-04-16,"FMR, LLC",35700719,10921920702
JPM,2026-04-16,NORGES BANK,35368681,10820340319
JPM,2026-04-16,Northern Trust Corporation,31672762,9689647846
JPM,2026-04-16,Price (T.Rowe) Associates Inc,27942349,8548402624
BAC,2026-04-16,Vanguard Group Inc,651076825,35366492935
BAC,2026-04-16,Blackrock Inc.,542476024,29467297458
BAC,2026-04-16,"Berkshire Hathaway, Inc",517295934,28099514977
BAC,2026-04-16,State Street Corporation,298499829,16214510620
BAC,2026-04-16,"FMR, LLC",214781463,11666929004
BAC,2026-04-16,JPMORGAN CHASE & CO,161572280,8776606200
BAC,2026-04-16,"Geode Capital Management, LLC",154483485,8391542858
BAC,2026-04-16,Capital World Investors,141301411,7675492602
BAC,2026-04-16,Morgan Stanley,112791313,6126824087
BAC,2026-04-16,Price (T.Rowe) Associates Inc,106566355,5788684371
C,2026-04-16,Vanguard Group Inc,163239926,21497066253
C,2026-04-16,Blackrock Inc.,161638542,21286179990
C,2026-04-16,State Street Corporation,79914501,10523940831
C,2026-04-16,Capital World Investors,46712093,6151515641
C,2026-04-16,"Geode Capital Management, LLC",43252372,5695904974
C,2026-04-16,"Franklin Resources, Inc.",34196783,4503374436
C,2026-04-16,Price (T.Rowe) Associates Inc,34103871,4491138855
C,2026-04-16,"Fisher Asset Management, LLC",33887285,4462616644
C,2026-04-16,"FMR, LLC",30958878,4076974719
C,2026-04-16,Morgan Stanley,26961521,3550562766
WFC,2026-04-16,Vanguard Group Inc,296419877,23799552195
WFC,2026-04-16,Blackrock Inc.,262383174,21066745280
WFC,2026-04-16,"FMR, LLC",185705183,14910269313
WFC,2026-04-16,State Street Corporation,137088237,11006814674
WFC,2026-04-16,JPMORGAN CHASE & CO,130851080,10506033332
WFC,2026-04-16,"Geode Capital Management, LLC",72382568,5811596450
WFC,2026-04-16,"Wellington Management Group, LLP",72409976,5813797039
WFC,2026-04-16,Morgan Stanley,53574153,4301468793
WFC,2026-04-16,Bank of America Corporation,51281147,4117363339
WFC,2026-04-16,NORGES BANK,48418055,3887485680
GS,2026-04-16,Vanguard Group Inc,29014431,26098190256
GS,2026-04-16,Blackrock Inc.,23251559,20914544577
GS,2026-04-16,State Street Corporation,19564783,17598326469
GS,2026-04-16,JPMORGAN CHASE & CO,7874962,7083449492
GS,2026-04-16,Morgan Stanley,7462643,6712572679
GS,2026-04-16,"Fisher Asset Management, LLC",6771556,6090946840
GS,2026-04-16,"Geode Capital Management, LLC",6726721,6050618206
GS,2026-04-16,Bank of America Corporation,5978034,5377181744
GS,2026-04-16,"FMR, LLC",4050198,3643112559
GS,2026-04-16,Capital World Investors,3737815,3362127177
MS,2026-04-16,Mitsubishi UFJ Financial Group Inc,377085167,72257057859
MS,2026-04-16,Vanguard Group Inc,119718100,22940381737
MS,2026-04-16,State Street Corporation,103854751,19900646879
MS,2026-04-16,Blackrock Inc.,95248897,18251593178
MS,2026-04-16,JPMORGAN CHASE & CO,35714453,6843603309
MS,2026-04-16,"Geode Capital Management, LLC",27070557,5187260000
MS,2026-04-16,"FMR, LLC",26166591,5014042039
MS,2026-04-16,"Fisher Asset Management, LLC",25018335,4794013230
MS,2026-04-16,Capital International Investors,20544097,3936659766
MS,2026-04-16,Bank of America Corporation,16239143,3111744502
