ticker,date,holder,shares,value
JPM,2026-04-13,Vanguard Group Inc,265758185,83363025524
JPM,2026-04-13,Blackrock Inc.,211596732,66373661343
JPM,2026-04-13,State Street Corporation,125342135,39317319988
JPM,2026-04-13,Morgan Stanley,66385268,20823730380
JPM,2026-04-13,"Geode Capital Management, LLC",61268688,19218761603
JPM,2026-04-13,Bank of America Corporation,56719109,17791649695
JPM,2026-04-13,"FMR, LLC",35700719,11198601274
JPM,2026-04-13,NORGES BANK,35368681,11094447597
JPM,2026-04-13,Northern Trust Corporation,31672762,9935111752
JPM,2026-04-13,Price (T.Rowe) Associates Inc,27942349,8764955829
BAC,2026-04-13,Vanguard Group Inc,651076825,34734947620
BAC,2026-04-13,Blackrock Inc.,542476024,28941095052
BAC,2026-04-13,"Berkshire Hathaway, Inc",517295934,27597737289
BAC,2026-04-13,State Street Corporation,298499829,15924965421
BAC,2026-04-13,"FMR, LLC",214781463,11458590723
BAC,2026-04-13,JPMORGAN CHASE & CO,161572280,8619880891
BAC,2026-04-13,"Geode Capital Management, LLC",154483485,8241693689
BAC,2026-04-13,Capital World Investors,141301411,7538430061
BAC,2026-04-13,Morgan Stanley,112791313,6017416376
BAC,2026-04-13,Price (T.Rowe) Associates Inc,106566355,5685314876
C,2026-04-13,Vanguard Group Inc,163239926,20613937656
C,2026-04-13,Blackrock Inc.,161638542,20411714886
C,2026-04-13,State Street Corporation,79914501,10091603088
C,2026-04-13,Capital World Investors,46712093,5898803047
C,2026-04-13,"Geode Capital Management, LLC",43252372,5461909483
C,2026-04-13,"Franklin Resources, Inc.",34196783,4318369715
C,2026-04-13,Price (T.Rowe) Associates Inc,34103871,4306636788
C,2026-04-13,"Fisher Asset Management, LLC",33887285,4279286308
C,2026-04-13,"FMR, LLC",30958878,3909487076
C,2026-04-13,Morgan Stanley,26961521,3404700838
WFC,2026-04-13,Vanguard Group Inc,296419877,25681817962
WFC,2026-04-13,Blackrock Inc.,262383174,22732878035
WFC,2026-04-13,"FMR, LLC",185705183,16089496941
WFC,2026-04-13,State Street Corporation,137088237,11877324770
WFC,2026-04-13,JPMORGAN CHASE & CO,130851080,11336937491
WFC,2026-04-13,"Geode Capital Management, LLC",72382568,6271225647
WFC,2026-04-13,"Wellington Management Group, LLP",72409976,6273600276
WFC,2026-04-13,Morgan Stanley,53574153,4641664583
WFC,2026-04-13,Bank of America Corporation,51281147,4442998544
WFC,2026-04-13,NORGES BANK,48418055,4194940255
GS,2026-04-13,Vanguard Group Inc,29014431,25845764352
GS,2026-04-13,Blackrock Inc.,23251559,20712255730
GS,2026-04-13,State Street Corporation,19564783,17428112618
GS,2026-04-13,JPMORGAN CHASE & CO,7874962,7014937226
GS,2026-04-13,Morgan Stanley,7462643,6647647593
GS,2026-04-13,"Fisher Asset Management, LLC",6771556,6032034220
GS,2026-04-13,"Geode Capital Management, LLC",6726721,5992095651
GS,2026-04-13,Bank of America Corporation,5978034,5325172775
GS,2026-04-13,"FMR, LLC",4050198,3607875787
GS,2026-04-13,Capital World Investors,3737815,3329608141
MS,2026-04-13,Mitsubishi UFJ Financial Group Inc,377085167,68305206920
MS,2026-04-13,Vanguard Group Inc,119718100,21685736560
MS,2026-04-13,State Street Corporation,103854751,18812249532
MS,2026-04-13,Blackrock Inc.,95248897,17253385144
MS,2026-04-13,JPMORGAN CHASE & CO,35714453,6469315994
MS,2026-04-13,"Geode Capital Management, LLC",27070557,4903560678
MS,2026-04-13,"FMR, LLC",26166591,4739816277
MS,2026-04-13,"Fisher Asset Management, LLC",25018335,4531821186
MS,2026-04-13,Capital International Investors,20544097,3721357718
MS,2026-04-13,Bank of America Corporation,16239143,2941558353
